sampleID	em.uq
1604_SFMG_SMP_2	559.683
1604_SFMG_SMP_2	561.358
1604_SFMG_SMP_2	563.034
1604_SFMG_SMP_2	564.71
1604_SFMG_SMP_2	566.386
1604_SFMG_SMP_2	568.063
1604_SFMG_SMP_2	569.739
1604_SFMG_SMP_2	571.416
1604_SFMG_SMP_2	573.093
1604_SFMG_SMP_2	574.771
1604_SFMG_SMP_2	576.448
1604_SFMG_SMP_2	578.126
1604_SFMG_SMP_2	579.804
1604_SFMG_SMP_2	581.483
1604_SFMG_SMP_2	583.161
1604_SFMG_SMP_2	584.84
1604_SFMG_SMP_2	586.519
1604_SFMG_SMP_2	588.198
1604_SFMG_SMP_2	589.878
1604_SFMG_SMP_2	591.557
1604_SFMG_SMP_2	593.237
1604_SFMG_SMP_2	594.917
1604_SFMG_SMP_2	596.597
1604_SFMG_SMP_2	598.277
1604_SFMG_SMP_2	599.958
1604_SFMG_SMP_2	601.639
1604_SFMG_SMP_2	603.32
1604_SFMG_SMP_2	605.001
1604_SFMG_SMP_2	606.682
1604_SFMG_SMP_2	608.364
1604_SFMG_SMP_2	610.045
1604_SFMG_SMP_2	611.727
1604_SFMG_SMP_2	613.409
1604_SFMG_SMP_2	615.091
1604_SFMG_SMP_2	616.774
1604_SFMG_SMP_2	618.456
1604_SFMG_SMP_2	620.139
1604_SFPR_SMP_1	212.423
1604_SFPR_SMP_1	213.993
1604_SFPR_SMP_1	215.563
1604_SFPR_SMP_1	217.134
1604_SFPR_SMP_1	218.706
1604_SFPR_SMP_1	220.279
1604_SFPR_SMP_1	221.852
1604_SFPR_SMP_1	223.426
1604_SFPR_SMP_1	225
1604_SFPR_SMP_1	226.576
1604_SFPR_SMP_1	228.152
1604_SFPR_SMP_1	229.728
1604_SFPR_SMP_1	231.305
1604_SFPR_SMP_1	232.883
1604_SFPR_SMP_1	234.462
1604_SFPR_SMP_1	236.042
1604_SFPR_SMP_1	237.622
1604_SFPR_SMP_1	239.202
1604_SFPR_SMP_1	240.784
1604_SFPR_SMP_1	242.366
1604_SFPR_SMP_1	243.948
1604_SFPR_SMP_1	245.532
1604_SFPR_SMP_1	247.116
1604_SFPR_SMP_1	248.701
1604_SFPR_SMP_1	250.286
1604_SFPR_SMP_1	251.872
1604_SFPR_SMP_1	253.459
1604_SFPR_SMP_1	255.046
1604_SFPR_SMP_1	256.634
1604_SFPR_SMP_1	258.223
1604_SFPR_SMP_1	259.812
1604_SFPR_SMP_1	261.402
1604_SFPR_SMP_1	262.993
1604_SFPR_SMP_1	264.584
1604_SFPR_SMP_1	266.176
1604_SFPR_SMP_1	267.769
1604_SFPR_SMP_1	269.362
1604_SFPR_SMP_1	270.956
1604_SFPR_SMP_1	272.551
1604_SFPR_SMP_1	274.146
1604_SFPR_SMP_1	275.742
1604_SFPR_SMP_1	277.338
1604_SFPR_SMP_1	278.935
1604_SFPR_SMP_1	280.533
1604_SFPR_SMP_1	282.131
1604_SFPR_SMP_1	283.73
1604_SFPR_SMP_1	285.33
1604_SFPR_SMP_1	286.93
1604_SFPR_SMP_1	288.531
1604_SFPR_SMP_1	290.132
1604_SFPR_SMP_1	291.735
1604_SFPR_SMP_1	293.337
1604_SFPR_SMP_1	294.941
1604_SFPR_SMP_1	296.545
1604_SFPR_SMP_1	298.149
1604_SFPR_SMP_1	299.754
1604_SFPR_SMP_1	301.36
1604_SFPR_SMP_1	302.966
1604_SFPR_SMP_1	304.573
1604_SFPR_SMP_1	306.181
1604_SFPR_SMP_1	307.789
1604_SFPR_SMP_1	309.398
1604_SFPR_SMP_1	311.007
1604_SFPR_SMP_1	312.617
1604_SFPR_SMP_1	314.228
1604_SFPR_SMP_1	315.839
1604_SFPR_SMP_1	317.451
1604_SFPR_SMP_1	319.063
1604_SFPR_SMP_1	320.676
1604_SFPR_SMP_1	322.29
1604_SFPR_SMP_1	323.904
1604_SFPR_SMP_1	325.519
1604_SFPR_SMP_1	327.134
1604_SFPR_SMP_1	328.75
1604_SFPR_SMP_1	330.366
1604_SFPR_SMP_1	331.983
1604_SFPR_SMP_1	333.601
1604_SFPR_SMP_1	335.219
1604_SFPR_SMP_1	336.838
1604_SFPR_SMP_1	338.457
1604_SFPR_SMP_1	340.077
1604_SFPR_SMP_1	341.697
1604_SFPR_SMP_1	343.318
1604_SFPR_SMP_1	344.94
1604_SFPR_SMP_1	346.562
1604_SFPR_SMP_1	348.185
1604_SFPR_SMP_1	349.808
1604_SFPR_SMP_1	351.432
1604_SFPR_SMP_1	353.056
1604_SFPR_SMP_1	354.681
1604_SFPR_SMP_1	356.306
1604_SFPR_SMP_1	357.932
1604_SFPR_SMP_1	359.558
1604_SFPR_SMP_1	361.185
1604_SFPR_SMP_1	362.813
1604_SFPR_SMP_1	364.441
1604_SFPR_SMP_1	366.07
1604_SFPR_SMP_1	367.699
1604_SFPR_SMP_1	369.328
1604_SFPR_SMP_1	370.959
1604_SFPR_SMP_1	372.589
1604_SFPR_SMP_1	374.221
1604_SFPR_SMP_1	375.852
1604_SFPR_SMP_1	377.485
1604_SFPR_SMP_1	379.117
1604_SFPR_SMP_1	380.751
1604_SFPR_SMP_1	382.384
1604_SFPR_SMP_1	384.019
1604_SFPR_SMP_1	385.654
1604_SFPR_SMP_1	387.289
1604_SFPR_SMP_1	388.925
1604_SFPR_SMP_1	390.561
1604_SFPR_SMP_1	392.198
1604_SFPR_SMP_1	393.835
1604_SFPR_SMP_1	395.473
1604_SFPR_SMP_1	397.111
1604_SFPR_SMP_1	398.75
1604_SFPR_SMP_1	400.39
1604_SFPR_SMP_1	402.029
1604_SFPR_SMP_1	403.67
1604_SFPR_SMP_1	405.31
1604_SFPR_SMP_1	406.951
1604_SFPR_SMP_1	408.593
1604_SFPR_SMP_1	410.235
1604_SFPR_SMP_1	411.878
1604_SFPR_SMP_1	413.521
1604_SFPR_SMP_1	415.165
1604_SFPR_SMP_1	416.809
1604_SFPR_SMP_1	418.453
1604_SFPR_SMP_1	420.098
1604_SFPR_SMP_1	421.744
1604_SFPR_SMP_1	423.39
1604_SFPR_SMP_1	425.036
1604_SFPR_SMP_1	426.683
1604_SFPR_SMP_1	428.33
1604_SFPR_SMP_1	429.978
1604_SFPR_SMP_1	431.626
1604_SFPR_SMP_1	433.274
1604_SFPR_SMP_1	434.923
1604_SFPR_SMP_1	436.573
1604_SFPR_SMP_1	438.223
1604_SFPR_SMP_1	439.873
1604_SFPR_SMP_1	441.524
1604_SFPR_SMP_1	443.175
1604_SFPR_SMP_1	444.827
1604_SFPR_SMP_1	446.479
1604_SFPR_SMP_1	448.131
1604_SFPR_SMP_1	449.784
1604_SFPR_SMP_1	451.437
1604_SFPR_SMP_1	453.091
1604_SFPR_SMP_1	454.745
1604_SFPR_SMP_1	456.4
1604_SFPR_SMP_1	458.055
1604_SFPR_SMP_1	459.71
1604_SFPR_SMP_1	461.366
1604_SFPR_SMP_1	463.022
1604_SFPR_SMP_1	464.678
1604_SFPR_SMP_1	466.335
1604_SFPR_SMP_1	467.993
1604_SFPR_SMP_1	469.651
1604_SFPR_SMP_1	471.309
1604_SFPR_SMP_1	472.967
1604_SFPR_SMP_1	474.626
1604_SFPR_SMP_1	476.285
1604_SFPR_SMP_1	477.945
1604_SFPR_SMP_1	479.605
1604_SFPR_SMP_1	481.265
1604_SFPR_SMP_1	482.926
1604_SFPR_SMP_1	484.587
1604_SFPR_SMP_1	486.249
1604_SFPR_SMP_1	487.911
1604_SFPR_SMP_1	489.573
1604_SFPR_SMP_1	491.236
1604_SFPR_SMP_1	492.899
1604_SFPR_SMP_1	494.562
1604_SFPR_SMP_1	496.226
1604_SFPR_SMP_1	497.89
1604_SFPR_SMP_1	499.554
1604_SFPR_SMP_1	501.219
1604_SFPR_SMP_1	502.884
1604_SFPR_SMP_1	504.549
1604_SFPR_SMP_1	506.215
1604_SFPR_SMP_1	507.881
1604_SFPR_SMP_1	509.548
1604_SFPR_SMP_1	511.214
1604_SFPR_SMP_1	512.881
1604_SFPR_SMP_1	514.549
1604_SFPR_SMP_1	516.217
1604_SFPR_SMP_1	517.885
1604_SFPR_SMP_1	519.553
1604_SFPR_SMP_1	521.222
1604_SFPR_SMP_1	522.891
1604_SFPR_SMP_1	524.56
1604_SFPR_SMP_1	526.23
1604_SFPR_SMP_1	527.9
1604_SFPR_SMP_1	529.57
1604_SFPR_SMP_1	531.24
1604_SFPR_SMP_1	532.911
1604_SFPR_SMP_1	534.582
1604_SFPR_SMP_1	536.254
1604_SFPR_SMP_1	537.925
1604_SFPR_SMP_1	539.597
1604_SFPR_SMP_1	541.27
1604_SFPR_SMP_1	542.942
1604_SFPR_SMP_1	544.615
1604_SFPR_SMP_1	546.288
1604_SFPR_SMP_1	547.961
1604_SFPR_SMP_1	549.635
1604_SFPR_SMP_1	551.309
1604_SFPR_SMP_1	552.983
1604_SFPR_SMP_1	554.658
1604_SFPR_SMP_1	556.332
1604_SFPR_SMP_1	558.007
1604_SFPR_SMP_1	559.683
1604_SFPR_SMP_1	561.358
1604_SFPR_SMP_1	563.034
1604_SFPR_SMP_1	564.71
1604_SFPR_SMP_1	566.386
1604_SFPR_SMP_1	568.063
1604_SFPR_SMP_1	569.739
1604_SFPR_SMP_1	571.416
1604_SFPR_SMP_1	573.093
1604_SFPR_SMP_1	574.771
1604_SFPR_SMP_1	576.448
1604_SFPR_SMP_1	578.126
1604_SFPR_SMP_1	579.804
1604_SFPR_SMP_1	581.483
1604_SFPR_SMP_1	583.161
1604_SFPR_SMP_1	584.84
1604_SFPR_SMP_1	586.519
1604_SFPR_SMP_1	588.198
1604_SFPR_SMP_1	589.878
1604_SFPR_SMP_1	591.557
1604_SFPR_SMP_1	593.237
1604_SFPR_SMP_1	594.917
1604_SFPR_SMP_1	596.597
1604_SFPR_SMP_1	598.277
1604_SFPR_SMP_1	599.958
1604_SFPR_SMP_1	601.639
1604_SFPR_SMP_1	603.32
1604_SFPR_SMP_1	605.001
1604_SFPR_SMP_1	606.682
1604_SFPR_SMP_1	608.364
1604_SFPR_SMP_1	610.045
1604_SFPR_SMP_1	611.727
1604_SFPR_SMP_1	613.409
1604_SFPR_SMP_1	615.091
1604_SFPR_SMP_1	616.774
1604_SFPR_SMP_1	618.456
1604_SFPR_SMP_1	620.139
1604_SFPR_SMP_2	212.423
1604_SFPR_SMP_2	213.993
1604_SFPR_SMP_2	215.563
1604_SFPR_SMP_2	217.134
1604_SFPR_SMP_2	218.706
1604_SFPR_SMP_2	220.279
1604_SFPR_SMP_2	221.852
1604_SFPR_SMP_2	223.426
1604_SFPR_SMP_2	225
1604_SFPR_SMP_2	226.576
1604_SFPR_SMP_2	228.152
1604_SFPR_SMP_2	229.728
1604_SFPR_SMP_2	231.305
1604_SFPR_SMP_2	232.883
1604_SFPR_SMP_2	234.462
1604_SFPR_SMP_2	236.042
1604_SFPR_SMP_2	237.622
1604_SFPR_SMP_2	239.202
1604_SFPR_SMP_2	240.784
1604_SFPR_SMP_2	242.366
1604_SFPR_SMP_2	243.948
1604_SFPR_SMP_2	245.532
1604_SFPR_SMP_2	247.116
1604_SFPR_SMP_2	248.701
1604_SFPR_SMP_2	250.286
1604_SFPR_SMP_2	251.872
1604_SFPR_SMP_2	253.459
1604_SFPR_SMP_2	255.046
1604_SFPR_SMP_2	256.634
1604_SFPR_SMP_2	258.223
1604_SFPR_SMP_2	259.812
1604_SFPR_SMP_2	261.402
1604_SFPR_SMP_2	262.993
1604_SFPR_SMP_2	264.584
1604_SFPR_SMP_2	266.176
1604_SFPR_SMP_2	267.769
1604_SFPR_SMP_2	269.362
1604_SFPR_SMP_2	270.956
1604_SFPR_SMP_2	272.551
1604_SFPR_SMP_2	274.146
1604_SFPR_SMP_2	275.742
1604_SFPR_SMP_2	277.338
1604_SFPR_SMP_2	278.935
1604_SFPR_SMP_2	280.533
1604_SFPR_SMP_2	282.131
1604_SFPR_SMP_2	283.73
1604_SFPR_SMP_2	285.33
1604_SFPR_SMP_2	286.93
1604_SFPR_SMP_2	288.531
1604_SFPR_SMP_2	290.132
1604_SFPR_SMP_2	291.735
1604_SFPR_SMP_2	293.337
1604_SFPR_SMP_2	294.941
1604_SFPR_SMP_2	296.545
1604_SFPR_SMP_2	298.149
1604_SFPR_SMP_2	299.754
1604_SFPR_SMP_2	301.36
1604_SFPR_SMP_2	302.966
1604_SFPR_SMP_2	304.573
1604_SFPR_SMP_2	306.181
1604_SFPR_SMP_2	307.789
1604_SFPR_SMP_2	309.398
1604_SFPR_SMP_2	311.007
1604_SFPR_SMP_2	312.617
1604_SFPR_SMP_2	314.228
1604_SFPR_SMP_2	315.839
1604_SFPR_SMP_2	317.451
1604_SFPR_SMP_2	319.063
1604_SFPR_SMP_2	320.676
1604_SFPR_SMP_2	322.29
1604_SFPR_SMP_2	323.904
1604_SFPR_SMP_2	325.519
1604_SFPR_SMP_2	327.134
1604_SFPR_SMP_2	328.75
1604_SFPR_SMP_2	330.366
1604_SFPR_SMP_2	331.983
1604_SFPR_SMP_2	333.601
1604_SFPR_SMP_2	335.219
1604_SFPR_SMP_2	336.838
1604_SFPR_SMP_2	338.457
1604_SFPR_SMP_2	340.077
1604_SFPR_SMP_2	341.697
1604_SFPR_SMP_2	343.318
1604_SFPR_SMP_2	344.94
1604_SFPR_SMP_2	346.562
1604_SFPR_SMP_2	348.185
1604_SFPR_SMP_2	349.808
1604_SFPR_SMP_2	351.432
1604_SFPR_SMP_2	353.056
1604_SFPR_SMP_2	354.681
1604_SFPR_SMP_2	356.306
1604_SFPR_SMP_2	357.932
1604_SFPR_SMP_2	359.558
1604_SFPR_SMP_2	361.185
1604_SFPR_SMP_2	362.813
1604_SFPR_SMP_2	364.441
1604_SFPR_SMP_2	366.07
1604_SFPR_SMP_2	367.699
1604_SFPR_SMP_2	369.328
1604_SFPR_SMP_2	370.959
1604_SFPR_SMP_2	372.589
1604_SFPR_SMP_2	374.221
1604_SFPR_SMP_2	375.852
1604_SFPR_SMP_2	377.485
1604_SFPR_SMP_2	379.117
1604_SFPR_SMP_2	380.751
1604_SFPR_SMP_2	382.384
1604_SFPR_SMP_2	384.019
1604_SFPR_SMP_2	385.654
1604_SFPR_SMP_2	387.289
1604_SFPR_SMP_2	388.925
1604_SFPR_SMP_2	390.561
1604_SFPR_SMP_2	392.198
1604_SFPR_SMP_2	393.835
1604_SFPR_SMP_2	395.473
1604_SFPR_SMP_2	397.111
1604_SFPR_SMP_2	398.75
1604_SFPR_SMP_2	400.39
1604_SFPR_SMP_2	402.029
1604_SFPR_SMP_2	403.67
1604_SFPR_SMP_2	405.31
1604_SFPR_SMP_2	406.951
1604_SFPR_SMP_2	408.593
1604_SFPR_SMP_2	410.235
1604_SFPR_SMP_2	411.878
1604_SFPR_SMP_2	413.521
1604_SFPR_SMP_2	415.165
1604_SFPR_SMP_2	416.809
1604_SFPR_SMP_2	418.453
1604_SFPR_SMP_2	420.098
1604_SFPR_SMP_2	421.744
1604_SFPR_SMP_2	423.39
1604_SFPR_SMP_2	425.036
1604_SFPR_SMP_2	426.683
1604_SFPR_SMP_2	428.33
1604_SFPR_SMP_2	429.978
1604_SFPR_SMP_2	431.626
1604_SFPR_SMP_2	433.274
1604_SFPR_SMP_2	434.923
1604_SFPR_SMP_2	436.573
1604_SFPR_SMP_2	438.223
1604_SFPR_SMP_2	439.873
1604_SFPR_SMP_2	441.524
1604_SFPR_SMP_2	443.175
1604_SFPR_SMP_2	444.827
1604_SFPR_SMP_2	446.479
1604_SFPR_SMP_2	448.131
1604_SFPR_SMP_2	449.784
1604_SFPR_SMP_2	451.437
1604_SFPR_SMP_2	453.091
1604_SFPR_SMP_2	454.745
1604_SFPR_SMP_2	456.4
1604_SFPR_SMP_2	458.055
1604_SFPR_SMP_2	459.71
1604_SFPR_SMP_2	461.366
1604_SFPR_SMP_2	463.022
1604_SFPR_SMP_2	464.678
1604_SFPR_SMP_2	466.335
1604_SFPR_SMP_2	467.993
1604_SFPR_SMP_2	469.651
1604_SFPR_SMP_2	471.309
1604_SFPR_SMP_2	472.967
1604_SFPR_SMP_2	474.626
1604_SFPR_SMP_2	476.285
1604_SFPR_SMP_2	477.945
1604_SFPR_SMP_2	479.605
1604_SFPR_SMP_2	481.265
1604_SFPR_SMP_2	482.926
1604_SFPR_SMP_2	484.587
1604_SFPR_SMP_2	486.249
1604_SFPR_SMP_2	487.911
1604_SFPR_SMP_2	489.573
1604_SFPR_SMP_2	491.236
1604_SFPR_SMP_2	492.899
1604_SFPR_SMP_2	494.562
1604_SFPR_SMP_2	496.226
1604_SFPR_SMP_2	497.89
1604_SFPR_SMP_2	499.554
1604_SFPR_SMP_2	501.219
1604_SFPR_SMP_2	502.884
1604_SFPR_SMP_2	504.549
1604_SFPR_SMP_2	506.215
1604_SFPR_SMP_2	507.881
1604_SFPR_SMP_2	509.548
1604_SFPR_SMP_2	511.214
1604_SFPR_SMP_2	512.881
1604_SFPR_SMP_2	514.549
1604_SFPR_SMP_2	516.217
1604_SFPR_SMP_2	517.885
1604_SFPR_SMP_2	519.553
1604_SFPR_SMP_2	521.222
1604_SFPR_SMP_2	522.891
1604_SFPR_SMP_2	524.56
1604_SFPR_SMP_2	526.23
1604_SFPR_SMP_2	527.9
1604_SFPR_SMP_2	529.57
1604_SFPR_SMP_2	531.24
1604_SFPR_SMP_2	532.911
1604_SFPR_SMP_2	534.582
1604_SFPR_SMP_2	536.254
1604_SFPR_SMP_2	537.925
1604_SFPR_SMP_2	539.597
1604_SFPR_SMP_2	541.27
1604_SFPR_SMP_2	542.942
1604_SFPR_SMP_2	544.615
1604_SFPR_SMP_2	546.288
1604_SFPR_SMP_2	547.961
1604_SFPR_SMP_2	549.635
1604_SFPR_SMP_2	551.309
1604_SFPR_SMP_2	552.983
1604_SFPR_SMP_2	554.658
1604_SFPR_SMP_2	556.332
1604_SFPR_SMP_2	558.007
1604_SFPR_SMP_2	559.683
1604_SFPR_SMP_2	561.358
1604_SFPR_SMP_2	563.034
1604_SFPR_SMP_2	564.71
1604_SFPR_SMP_2	566.386
1604_SFPR_SMP_2	568.063
1604_SFPR_SMP_2	569.739
1604_SFPR_SMP_2	571.416
1604_SFPR_SMP_2	573.093
1604_SFPR_SMP_2	574.771
1604_SFPR_SMP_2	576.448
1604_SFPR_SMP_2	578.126
1604_SFPR_SMP_2	579.804
1604_SFPR_SMP_2	581.483
1604_SFPR_SMP_2	583.161
1604_SFPR_SMP_2	584.84
1604_SFPR_SMP_2	586.519
1604_SFPR_SMP_2	588.198
1604_SFPR_SMP_2	589.878
1604_SFPR_SMP_2	591.557
1604_SFPR_SMP_2	593.237
1604_SFPR_SMP_2	594.917
1604_SFPR_SMP_2	596.597
1604_SFPR_SMP_2	598.277
1604_SFPR_SMP_2	599.958
1604_SFPR_SMP_2	601.639
1604_SFPR_SMP_2	603.32
1604_SFPR_SMP_2	605.001
1604_SFPR_SMP_2	606.682
1604_SFPR_SMP_2	608.364
1604_SFPR_SMP_2	610.045
1604_SFPR_SMP_2	611.727
1604_SFPR_SMP_2	613.409
1604_SFPR_SMP_2	615.091
1604_SFPR_SMP_2	616.774
1604_SFPR_SMP_2	618.456
1604_SFPR_SMP_2	620.139
1604_SFSI_SMP_1	212.423
1604_SFSI_SMP_1	213.993
1604_SFSI_SMP_1	215.563
1604_SFSI_SMP_1	217.134
1604_SFSI_SMP_1	218.706
1604_SFSI_SMP_1	220.279
1604_SFSI_SMP_1	221.852
1604_SFSI_SMP_1	223.426
1604_SFSI_SMP_1	225
1604_SFSI_SMP_1	226.576
1604_SFSI_SMP_1	228.152
1604_SFSI_SMP_1	229.728
1604_SFSI_SMP_1	231.305
1604_SFSI_SMP_1	232.883
1604_SFSI_SMP_1	234.462
1604_SFSI_SMP_1	236.042
1604_SFSI_SMP_1	237.622
1604_SFSI_SMP_1	239.202
1604_SFSI_SMP_1	240.784
1604_SFSI_SMP_1	242.366
1604_SFSI_SMP_1	243.948
1604_SFSI_SMP_1	245.532
1604_SFSI_SMP_1	247.116
1604_SFSI_SMP_1	248.701
1604_SFSI_SMP_1	250.286
1604_SFSI_SMP_1	251.872
1604_SFSI_SMP_1	253.459
1604_SFSI_SMP_1	255.046
1604_SFSI_SMP_1	256.634
1604_SFSI_SMP_1	258.223
1604_SFSI_SMP_1	259.812
1604_SFSI_SMP_1	261.402
1604_SFSI_SMP_1	262.993
1604_SFSI_SMP_1	264.584
1604_SFSI_SMP_1	266.176
1604_SFSI_SMP_1	267.769
1604_SFSI_SMP_1	269.362
1604_SFSI_SMP_1	270.956
1604_SFSI_SMP_1	272.551
1604_SFSI_SMP_1	274.146
1604_SFSI_SMP_1	275.742
1604_SFSI_SMP_1	277.338
1604_SFSI_SMP_1	278.935
1604_SFSI_SMP_1	280.533
1604_SFSI_SMP_1	282.131
1604_SFSI_SMP_1	283.73
1604_SFSI_SMP_1	285.33
1604_SFSI_SMP_1	286.93
1604_SFSI_SMP_1	288.531
1604_SFSI_SMP_1	290.132
1604_SFSI_SMP_1	291.735
1604_SFSI_SMP_1	293.337
1604_SFSI_SMP_1	294.941
1604_SFSI_SMP_1	296.545
1604_SFSI_SMP_1	298.149
1604_SFSI_SMP_1	299.754
1604_SFSI_SMP_1	301.36
1604_SFSI_SMP_1	302.966
1604_SFSI_SMP_1	304.573
1604_SFSI_SMP_1	306.181
1604_SFSI_SMP_1	307.789
1604_SFSI_SMP_1	309.398
1604_SFSI_SMP_1	311.007
1604_SFSI_SMP_1	312.617
1604_SFSI_SMP_1	314.228
1604_SFSI_SMP_1	315.839
1604_SFSI_SMP_1	317.451
1604_SFSI_SMP_1	319.063
1604_SFSI_SMP_1	320.676
1604_SFSI_SMP_1	322.29
1604_SFSI_SMP_1	323.904
1604_SFSI_SMP_1	325.519
1604_SFSI_SMP_1	327.134
1604_SFSI_SMP_1	328.75
1604_SFSI_SMP_1	330.366
1604_SFSI_SMP_1	331.983
1604_SFSI_SMP_1	333.601
1604_SFSI_SMP_1	335.219
1604_SFSI_SMP_1	336.838
1604_SFSI_SMP_1	338.457
1604_SFSI_SMP_1	340.077
1604_SFSI_SMP_1	341.697
1604_SFSI_SMP_1	343.318
1604_SFSI_SMP_1	344.94
1604_SFSI_SMP_1	346.562
1604_SFSI_SMP_1	348.185
1604_SFSI_SMP_1	349.808
1604_SFSI_SMP_1	351.432
1604_SFSI_SMP_1	353.056
1604_SFSI_SMP_1	354.681
1604_SFSI_SMP_1	356.306
1604_SFSI_SMP_1	357.932
1604_SFSI_SMP_1	359.558
1604_SFSI_SMP_1	361.185
1604_SFSI_SMP_1	362.813
1604_SFSI_SMP_1	364.441
1604_SFSI_SMP_1	366.07
1604_SFSI_SMP_1	367.699
1604_SFSI_SMP_1	369.328
1604_SFSI_SMP_1	370.959
1604_SFSI_SMP_1	372.589
1604_SFSI_SMP_1	374.221
1604_SFSI_SMP_1	375.852
1604_SFSI_SMP_1	377.485
1604_SFSI_SMP_1	379.117
1604_SFSI_SMP_1	380.751
1604_SFSI_SMP_1	382.384
1604_SFSI_SMP_1	384.019
1604_SFSI_SMP_1	385.654
1604_SFSI_SMP_1	387.289
1604_SFSI_SMP_1	388.925
1604_SFSI_SMP_1	390.561
1604_SFSI_SMP_1	392.198
1604_SFSI_SMP_1	393.835
1604_SFSI_SMP_1	395.473
1604_SFSI_SMP_1	397.111
1604_SFSI_SMP_1	398.75
1604_SFSI_SMP_1	400.39
1604_SFSI_SMP_1	402.029
1604_SFSI_SMP_1	403.67
1604_SFSI_SMP_1	405.31
1604_SFSI_SMP_1	406.951
1604_SFSI_SMP_1	408.593
1604_SFSI_SMP_1	410.235
1604_SFSI_SMP_1	411.878
1604_SFSI_SMP_1	413.521
1604_SFSI_SMP_1	415.165
1604_SFSI_SMP_1	416.809
1604_SFSI_SMP_1	418.453
1604_SFSI_SMP_1	420.098
1604_SFSI_SMP_1	421.744
1604_SFSI_SMP_1	423.39
1604_SFSI_SMP_1	425.036
1604_SFSI_SMP_1	426.683
1604_SFSI_SMP_1	428.33
1604_SFSI_SMP_1	429.978
1604_SFSI_SMP_1	431.626
1604_SFSI_SMP_1	433.274
1604_SFSI_SMP_1	434.923
1604_SFSI_SMP_1	436.573
1604_SFSI_SMP_1	438.223
1604_SFSI_SMP_1	439.873
1604_SFSI_SMP_1	441.524
1604_SFSI_SMP_1	443.175
1604_SFSI_SMP_1	444.827
1604_SFSI_SMP_1	446.479
1604_SFSI_SMP_1	448.131
1604_SFSI_SMP_1	449.784
1604_SFSI_SMP_1	451.437
1604_SFSI_SMP_1	453.091
1604_SFSI_SMP_1	454.745
1604_SFSI_SMP_1	456.4
1604_SFSI_SMP_1	458.055
1604_SFSI_SMP_1	459.71
1604_SFSI_SMP_1	461.366
1604_SFSI_SMP_1	463.022
1604_SFSI_SMP_1	464.678
1604_SFSI_SMP_1	466.335
1604_SFSI_SMP_1	467.993
1604_SFSI_SMP_1	469.651
1604_SFSI_SMP_1	471.309
1604_SFSI_SMP_1	472.967
1604_SFSI_SMP_1	474.626
1604_SFSI_SMP_1	476.285
1604_SFSI_SMP_1	477.945
1604_SFSI_SMP_1	479.605
1604_SFSI_SMP_1	481.265
1604_SFSI_SMP_1	482.926
1604_SFSI_SMP_1	484.587
1604_SFSI_SMP_1	486.249
1604_SFSI_SMP_1	487.911
1604_SFSI_SMP_1	489.573
1604_SFSI_SMP_1	491.236
1604_SFSI_SMP_1	492.899
1604_SFSI_SMP_1	494.562
1604_SFSI_SMP_1	496.226
1604_SFSI_SMP_1	497.89
1604_SFSI_SMP_1	499.554
1604_SFSI_SMP_1	501.219
1604_SFSI_SMP_1	502.884
1604_SFSI_SMP_1	504.549
1604_SFSI_SMP_1	506.215
1604_SFSI_SMP_1	507.881
1604_SFSI_SMP_1	509.548
1604_SFSI_SMP_1	511.214
1604_SFSI_SMP_1	512.881
1604_SFSI_SMP_1	514.549
1604_SFSI_SMP_1	516.217
1604_SFSI_SMP_1	517.885
1604_SFSI_SMP_1	519.553
1604_SFSI_SMP_1	521.222
1604_SFSI_SMP_1	522.891
1604_SFSI_SMP_1	524.56
1604_SFSI_SMP_1	526.23
1604_SFSI_SMP_1	527.9
1604_SFSI_SMP_1	529.57
1604_SFSI_SMP_1	531.24
1604_SFSI_SMP_1	532.911
1604_SFSI_SMP_1	534.582
1604_SFSI_SMP_1	536.254
1604_SFSI_SMP_1	537.925
1604_SFSI_SMP_1	539.597
1604_SFSI_SMP_1	541.27
1604_SFSI_SMP_1	542.942
1604_SFSI_SMP_1	544.615
1604_SFSI_SMP_1	546.288
1604_SFSI_SMP_1	547.961
1604_SFSI_SMP_1	549.635
1604_SFSI_SMP_1	551.309
1604_SFSI_SMP_1	552.983
1604_SFSI_SMP_1	554.658
1604_SFSI_SMP_1	556.332
1604_SFSI_SMP_1	558.007
1604_SFSI_SMP_1	559.683
1604_SFSI_SMP_1	561.358
1604_SFSI_SMP_1	563.034
1604_SFSI_SMP_1	564.71
1604_SFSI_SMP_1	566.386
1604_SFSI_SMP_1	568.063
1604_SFSI_SMP_1	569.739
1604_SFSI_SMP_1	571.416
1604_SFSI_SMP_1	573.093
1604_SFSI_SMP_1	574.771
1604_SFSI_SMP_1	576.448
1604_SFSI_SMP_1	578.126
1604_SFSI_SMP_1	579.804
1604_SFSI_SMP_1	581.483
1604_SFSI_SMP_1	583.161
1604_SFSI_SMP_1	584.84
1604_SFSI_SMP_1	586.519
1604_SFSI_SMP_1	588.198
1604_SFSI_SMP_1	589.878
1604_SFSI_SMP_1	591.557
1604_SFSI_SMP_1	593.237
1604_SFSI_SMP_1	594.917
1604_SFSI_SMP_1	596.597
1604_SFSI_SMP_1	598.277
1604_SFSI_SMP_1	599.958
1604_SFSI_SMP_1	601.639
1604_SFSI_SMP_1	603.32
